ID,STATE,PROPERTYNAME,CITY,INCOME_REPORTED_PCT,MEDIAN_INC,UNITS_INC_0_5K_PCT,UNITS_INC_5K_10K_PCT,UNITS_INC_10K_15K_PCT,UNITS_INC_15_20K_PCT,UNITS_INC_GRT_20K_PCT
2886,MI,SCHOOL STREET VILLAS,BROOKLYN,91.7,23471,0,0,0,-4,-4
33797,MI,SCOTT BUILDING,HANCOCK,96.2,17313,0,-4,-4,-4,-4
14952,MI,SCOTTEN PARK,DETROIT,96.8,19776.5,-4,-4,-4,-4,50
6901,MI,SCOTTISH PINES SENIOR,ALMA,100,9665.5,-4,45.8,-4,-4,-4
2785,MI,SERENITY PLACE,GRAND LEDGE,95,12271,0,34.7,37.9,14.7,12.6
18021,MI,SERRANO LOFTS,GRAND RAPIDS,93.3,21843.5,-4,0,0,-4,-4
18908,MI,SETTER'S POINTE II,COOPERSVILLE,95.3,32020,0,0,-4,-4,85.4
6375,MI,SETTERS POINTE APARTMENTS,COOPERSVILLE,100,31304,0,0,-4,-4,86
17795,MI,SHADY OAKS APARTMENTS,HARRISON,97.1,13083,-4,-4,44.1,-4,-4
31264,MI,SHARON ANN APARTMENTS,CHELSEA,100,10823,-4,-4,-4,-4,-4
36318,MI,SHELBORNE SQUARE APARTMENTS,DETROIT,98.4,15073,23.8,-4,-4,25.4,25.4
35844,MI,SHELDON HOUSING DEVELOPMENT,GRAND RAPIDS,95.6,10800,0,46.5,30.2,-4,-4
17748,MI,SHELDON PLACE APARTMENTS,GAYLORD,100,18305,-4,-4,-4,-4,37.5
36267,MI,SHELDON PLACE II APARTMENTS,GAYLORD,100,15798,-4,-4,-4,-4,-4
25464,MI,SHELDON PLACE III,GAYLORD,92.9,21637.5,0,-4,-4,-4,53.8
18909,MI,SHELDON PLACE IV,GAYLORD,96.9,18966,0,-4,-4,-4,38.7
26983,MI,SHERIDAN PARK,SHERIDAN,100,11908.5,-4,-4,-4,-4,-4
13902,MI,SHILOH COMMONS,FLINT,94.3,21032,9.6,16.5,9.6,9.6,54.8
25516,MI,SHOWBOAT MANOR,CHESANING,100,12562,0,-4,42.3,-4,-4
36368,MI,SILVER CREEK APARTMENTS,FLAT ROCK,100,26239,-4,12.6,11.7,-4,61.3
40726,MI,SILVER MAPLE VILLAGE,LAPEER,97.7,14722,8.8,17.5,25.1,19.9,28.7
22537,MI,SILVER STAR APARTMENTS,BEDFORD TWP,97.3,12939,28.8,-4,26,17.8,-4
26926,MI,SILVER STAR II,BATTLE CREEK,100,13099.5,19,16,33,12,20
2840,MI,SILVER STONE TOWNHOMES,LANSING,93.3,15715.5,-4,-4,23.5,16.3,36.7
35888,MI,SILVERWOOD MANOR APARTMENTS,HESPERIA,93.3,10222,-4,-4,-4,-4,-4
33906,MI,SIMON HOUSE,DETROIT,-4,11624.5,0,-4,-4,0,-4
22686,MI,SNOWBERRY HEIGHTS,MARQUETTE,94.2,14472,9.6,17.4,27,23.6,22.5
26883,MI,SOLBERG TOWER,MADISON HEIGHTS,99.4,9420,18.5,53.6,20.8,-4,-4
8636,MI,SOMERSET APARTMENTS,LANSING,98,10275,-4,45.9,32.7,16.3,-4
11083,MI,SOUTH HILL APARTMENTS,MILFORD,100,15499,-4,24.4,18.5,-4,35.3
6424,MI,SOUTH POINTE APARTMENTS PH III,INDIAN RIVER,100,11661,-4,-4,-4,-4,-4
29630,MI,SOUTH SAGINAW HOMES,SAGINAW,100,21163,-4,-4,-4,-4,53.1
6363,MI,SOUTH SAGINAW HOMES II,SAGINAW,95.2,18852,-4,-4,-4,27.5,37.5
24316,MI,SOUTHSIDE  APARTMENTS II,WEST BRANCH,93.8,19416,-4,0,-4,31.1,40
15005,MI,SOUTHSIDE APARTMENTS,WEST BRANCH,97.2,24388,-4,-4,-4,-4,57.1
