ID,STATE,PROPERTYNAME,CITY,INCOME_REPORTED_PCT,UNITS_INC_ILMT_IRES_RPTD_PCT,UNITS_I_IL_IR_0_PCT,UNITS_I_IL_IR_0_30_PCT,UNITS_I_IL_IR_30_40_PCT,UNITS_I_IL_IR_40_50_PCT,UNITS_I_IL_IR_50_60_PCT,UNITS_I_IL_IR_GT60_PCT
26587,NC,BAXTER STREET APARTMENTS,CHARLOTTE,100,-4,0,-4,0,-4,-4,0
6272,NC,BAY RIVER APTS,BAYBORO,95,95,0,-4,-4,-4,-4,-4
3161,NC,BAYLEAF PLANTATION,WASHINGTON,100,100,0,-4,30.6,-4,-4,-4
1905,NC,BAYTREE APARTMENTS,RICHLANDS,95.8,95.8,0,73.9,-4,-4,0,0
23864,NC,BEACON POINTE,WILSON,94.2,94.2,0,67.3,-4,12.2,-4,-4
24763,NC,BEAL STREET SQUARE,ROCKY MOUNT,100,100,0,25,15,17.5,26.3,16.3
19379,NC,BEAUFORT MANOR APARTMENTS - PHASE II,BEAUFORT,100,76,0,-4,-4,-4,-4,-4
6223,NC,BEAUFORT MANOR APTS,BEAUFORT,94.3,94.3,0,-4,-4,-4,-4,-4
3384,NC,BEAUFORT SPRING,BEAUFORT,89.6,66.7,0,-4,-4,-4,-4,-4
8327,NC,BEECHRIDGE APTS,APEX,94.4,94.4,0,30.9,26.5,22.1,-4,-4
31732,NC,BELLEMONT POINTE APARTMENTS,PITTSBORO,98.7,94.7,0,72.2,22.2,-4,-4,0
26588,NC,BENCHMARK APARTMENTS,CHINA GROVE,100,100,0,62.5,-4,-4,-4,0
21325,NC,BENSON GREEN,BENSON,96.3,96.3,0,33.8,29.9,24.7,-4,-4
14277,NC,BERKELEY SPRING APTS,RALEIGH,97.2,72.2,0,53.8,-4,-4,-4,-4
36672,NC,BERMUDA RUN APARTMENTS,WARSAW,100,100,0,76,-4,-4,-4,0
6127,NC,BERRY COURT APTS,CHADBOURN,97.5,97.5,0,71.8,-4,-4,-4,0
31788,NC,BERRY PARK APTS,CHADBOURN,94.4,94.4,0,70.6,-4,-4,-4,0
37849,NC,BERRYMAN SQUARE,GREENSBORO,97.7,97.7,0,44.2,-4,-4,-4,-4
31001,NC,BEST VILLAGE APTS,KINSTON,98,98,0,-4,-4,-4,-4,36.7
19421,NC,BETHABARA POINTE,WINSTONSALEM,95.6,58.1,0,38.7,14,15.1,19.4,12.9
3437,NC,BIG CHAIR LOFTS,THOMASVILLE,95.7,95.7,0,-4,30.8,26.3,23.3,-4
8965,NC,BILTMORE HILLS APTS,RALEIGH,100,100,0,64,-4,-4,-4,-4
15479,NC,BLACK RIVER VILLAGE APTS PHASE II,ANGIER,96.9,96.9,0,51.6,38.7,-4,-4,0
15428,NC,BLANTON GREEN APTS,FAYETTEVILLE,89.6,89.6,0,39.5,-4,-4,-4,-4
29849,NC,BLANTON GREEN II APTS,FAYETTEVILLE,96.9,96.9,0,38.7,-4,-4,-4,-4
19371,NC,BLANTON GREEN III APARTMENTS,FAYETTEVILLE,91.7,66.7,0,-4,-4,-4,-4,-4
13753,NC,BLUE POINT BAY,NEWPORT,90.6,85.9,0,32.7,21.8,-4,-4,21.8
19381,NC,BLUE RIDGE APARTMENTS,BLACK MOUNTAIN,97.4,97.4,0,47.4,43.4,-4,-4,0
17339,NC,BLUE RIDGE VILLAS,WILKESBORO,97.5,97.5,0,53.8,-4,-4,-4,-4
