ID,STATE,PROPERTYNAME,CITY,UNITS_FRA_SRC_PCT,UNITS_FRA_SRC_PBRA_PCT,UNITS_FRA_SRC_S8_PCT,UNITS_FRA_SRC_PH_PCT,UNITS_FRA_SRC_HOME_PCT,UNITS_FRA_SRC_HCV_PCT,UNITS_FRA_SRC_PBV_PCT,UNITS_FRA_SRC_S521_PCT,UNITS_FRA_SRC_OTHER_PCT
5512,AL,ASHBROOK,ALBERTVILLE,45.8,0,0,0,0,0,0,0,100
33722,AL,ASHLEY MANOR II,MOODY,10.7,0,0,0,0,0,0,0,-4
6289,AL,ASHLEY VILLAS FORMERLY MARTIN LUTHER KING VILLAS,MONTGOMERY,30,0,0,0,0,0,0,0,100
28653,AL,ASHTON WAY APARTMENTS,OPELIKA,20,0,0,0,0,0,0,0,100
6291,AL,ATHENS MANOR,ATHENS,100,0,0,0,0,0,0,100,0
4521,AL,ATHENS SQUARE,ATHENS,12.8,0,0,0,0,0,0,0,-4
1876,AL,AUSTIN SPRINGS APARTMENTS FORMERLY SANDY SPRINGS,SCOTTSBORO,48.2,0,0,0,0,0,0,0,100
10994,AL,AUTUMN CHASE APARTMENTS,MOBILE,60,0,0,0,0,0,0,0,100
23455,AL,AUTUMN RIDGE APARTMENTS,TROY,52.4,0,0,0,0,0,0,0,100
33092,AL,AUTUMNWOOD APARTMENTS,HANCEVILLE,64.7,0,0,0,0,-4,0,0,-4
35076,AL,AVALON PLAZA F/K/A FAMILY PLACE APARTMENTS,MOBILE,8.6,0,0,0,0,-4,0,0,-4
4567,AL,AVON SQUARE,OZARK,23.6,0,0,0,0,0,0,0,100
32811,AL,AVONDALE GARDENS,BIRMINGHAM,64.1,0,0,0,0,0,0,0,100
16936,AL,AZALEA POINTE APARTMENTS FKA VILLAGE GREEN APTS,MOBILE,57.2,76.5,0,0,0,13.4,0,0,10.1
21673,AL,BANKHEAD COURT APARTMENTS,WINFIELD,20,0,0,0,0,0,0,0,-4
6518,AL,BANKHEAD TOWERS,BIRMINGHAM,99.6,0,0,0,0,-4,0,0,-4
21676,AL,BARRINGTON PARC APARTMENTS,MOODY,47.9,0,0,0,0,0,0,0,100
6285,AL,BAYOU BEND,BAYOU LA BATRE,22.2,0,0,0,0,100,0,0,0
6340,AL,BAYOU VILLAGE,BAYOU LA BATRE,94.9,0,0,0,0,40,0,60,0
17516,AL,BAYTOWN SENIOR VILLAGE,SEMMES,4.2,0,0,0,0,0,0,0,-4
29439,AL,BAYVIEW ESTATES,ORANGE BEACH,0,0,0,0,0,0,0,0,0
33712,AL,BEAVER COVE,SCOTTSBORO,45.8,0,0,0,0,0,0,0,100
33086,AL,BEDELL VILLAGE,AUBURN,31.3,0,0,0,0,0,0,0,100
20528,AL,BEDFORD PINES,BUTLER,100,0,0,0,0,0,0,-4,-4
15632,AL,BELLE ISLE APARTMENTS,ROBERTSDALE,10.7,-4,0,0,0,0,0,0,-4
35128,AL,BELLE VUE SQUARE,MILLBROOK,5.4,0,0,0,0,0,0,0,-4
22194,AL,BELLEMEADE APARTMENTS,MARION,92.6,0,0,0,0,0,0,-4,-4
33716,AL,BENNETT POINTE,THEODORE,37.5,0,0,0,0,0,0,0,100
40540,AL,BERKSHIRE APARTMENTS,MOBILE,72.3,0,0,0,0,0,0,0,100
38669,AL,BESSEMER PLACE APARTMENTS F/K/A FLINT HILL POINTE,BESSEMER,27.9,0,0,0,0,0,0,0,100
11052,AL,BEVERLYE CROSSING APARTMENTS II,DOTHAN,26.6,0,0,0,0,100,0,0,0
24721,AL,BEVERLYE CROSSINGS,DOTHAN,28.8,0,0,0,0,100,0,0,0
1296,AL,BILTMORE PLACE,DOTHAN,0,0,0,0,0,0,0,0,0
29438,AL,BLACKWOOD ESTATES,LOXLEY,1.8,0,0,0,0,-4,0,0,0
6339,AL,BLOUNTSVILLE MANOR,BLOUNTSVILLE,100,0,0,0,0,0,0,100,0
11004,AL,BLOUNTSVILLE PARK APARTMENTS,BLOUNTSVILLE,0,0,0,0,0,0,0,0,0
13770,AL,BONAIRE VILLAS,PINE HILL,94.4,0,0,0,0,0,0,-4,-4
6338,AL,BRADBERRY POINTE,ALEXANDER CITY,0,0,0,0,0,0,0,0,0
38668,AL,BRADLEY PARK APARTMENTS,ATTALLA,100,-4,0,0,0,0,0,0,-4
9572,AL,BRANTWOOD LANE APARTMENTS,CENTREVILLE,94.4,0,0,0,0,0,0,0,100
22199,AL,BRENTWOOD LANDING APARTMENTS,PRATTVILLE,54.4,-4,0,0,0,0,0,0,-4
4565,AL,BRENTWOOD LANDING II APARTMENTS,PRATTVILLE,55.2,-4,0,0,0,0,0,0,-4
20475,AL,BRENTWOOD PARK,TALLADEGA,90,91.1,0,0,0,-4,0,0,-4
21827,AL,BREWINGTON POINTE APARTMENTS FKA BREWINGTON PLACE,BREWTON,0,0,0,0,0,0,0,0,0
1870,AL,BRIARWOOD ESTATES,ROBERTSDALE,0,0,0,0,0,0,0,0,0
17460,AL,BRISTOL DOWNS APARTMENTS FKA FIELDCREST,MONTGOMERY,39.3,0,0,0,0,0,0,0,100
1864,AL,BROOK HAVEN APARTMENTS,HUNTSVILLE,60.3,0,0,0,0,-4,0,0,-4
20517,AL,BROOKEVILLE APARTMENTS,GADSDEN,8.3,0,0,0,0,0,0,0,-4
29446,AL,BROOKSHIRE MANOR APARTMENTS,THOMASVILLE,100,0,0,0,0,0,0,100,0
29440,AL,BROOKSIDE APARTMENTS,WADLEY,78.6,0,0,0,0,0,0,100,0
33249,AL,BROOKSTONE VILLAGE APARTMENTS,JACKSONVILLE,56.5,-4,0,0,0,0,0,0,-4
18708,AL,BROOKVIEW APARTMENTS,MONTGOMERY,21.5,0,0,0,0,0,0,0,100
33246,AL,BROOKWOOD APARTMENTS,FOLEY,0,0,0,0,0,0,0,0,0
32,AL,BUTLER COVE,BUTLER,21.2,0,0,0,0,0,0,0,-4
18752,AL,CADENCE POINT (FKA THE BOULEVARD),ENTERPRISE,17.9,0,0,0,0,0,0,0,-4
6288,AL,CAHABA GLADES APARTMENTS FKA CAHABA TRACE APTS,CENTREVILLE,88.9,0,0,0,0,0,0,29.2,70.8
31987,AL,CAMBRIDGE APARTMENTS,CENTRE,2.5,0,0,0,0,0,0,0,-4
27458,AL,CAMELLIA PLACE,MONROEVILLE,4.2,0,0,0,0,0,0,0,-4
20474,AL,CAMELLIA VILLAGE F/K/A SASSER HAVEN,BRANTLEY,94.4,0,0,0,0,0,0,100,0
33719,AL,CANAAN ESTATES II,TALLADEGA,0,0,0,0,0,0,0,0,0
30175,AL,CANDICE COVE,SEMMES,2.8,0,0,0,0,0,0,0,-4
18758,AL,CANDLEWICK SENIOR VILLAGE,MONROEVILLE,96.9,0,0,0,0,0,0,0,100
33245,AL,CANDLEWOOD APARTMENTS,HURTSBORO,100,0,0,0,0,0,0,100,0
36794,AL,CANEBRAKE APARTMENTS,UNIONTOWN,30.6,0,0,0,0,0,0,0,100
33247,AL,CANTERBURY APARTMENTS,GREENSBORO,93.6,0,0,0,0,0,0,100,0
35082,AL,CANYON VIEW APARTMENTS,PISGAH,83.3,0,0,0,0,0,0,0,-4
5564,AL,CARDINAL APARTMENTS,ADDISON,90.9,0,0,0,0,0,0,-4,0
33087,AL,CARRIAGE HILLS APARTMENTS,GREENSBORO,93.5,0,0,0,0,0,0,100,0
12102,AL,CARROLLTON MANOR APARTMENTS,CARROLLTON,35.4,-4,0,0,0,0,0,0,-4
17464,AL,CARSON LANDING APARTMENTS,CENTER POINT,77.5,0,0,0,0,0,0,0,100
12097,AL,CASTLEWOOD APARTMENTS,HUNTSVILLE,62.7,0,0,0,0,100,0,0,0
31993,AL,CEDAR FOREST APARTMENTS,BREWTON,81.8,0,0,0,0,0,0,100,0
6293,AL,CEDAR GROVE APARTMENTS,SELMA,32.7,0,0,0,0,-4,0,0,-4
33764,AL,CEDAR KEY APARTMENTS,CEDAR BLUFF,91.7,0,0,0,0,0,0,0,100
51,AL,CEDAR TERRACE APARTMENTS,SELMA,41.7,0,0,0,0,0,0,0,100
16983,AL,CEDAR VILLAGE APARTMENTS,ROGERSVILLE,14.3,0,0,0,0,0,0,0,-4
35130,AL,CEDARHAVEN,CEDAR BLUFF,94.4,0,0,0,0,0,0,100,0
13764,AL,CHALKVILLE MANOR APARTMENTS,BIRMINGHAM,96.1,-4,0,0,0,0,0,0,-4
6342,AL,CHANCERY SQUARE,EIGHT MILE,39.3,0,0,0,0,0,0,0,100
12095,AL,CHARLES PLACE,RUSSELLVILLE,43.8,0,0,0,0,0,0,0,100
5566,AL,CHARLESTON SQUARE APARTMENTS FORMERLY DEER RUN,TROY,18.2,0,0,0,0,-4,0,0,-4
12098,AL,CHASE PARK APARTMENTS,MONTGOMERY,26.1,0,0,0,0,0,0,0,100
50,AL,CHASTAIN MANOR,TUSCALOOSA,41.1,0,0,0,0,0,0,0,100
40545,AL,CHEROKEE APARTMENTS,AKRON,0,0,0,0,0,0,0,0,0
35086,AL,CHEROKEE ESTATES,CENTRE,80.6,0,0,0,0,0,0,100,0
5560,AL,CHERRY RIDGE INDEPENDENT LIVING APTS.,BIRMINGHAM,30.9,-4,0,0,0,0,0,0,-4
40549,AL,CHERRY RIDGE VILLAGE APARTMENTS,BIRMINGHAM,17.9,0,0,0,0,0,0,0,-4
31995,AL,CHESTNUT GLEN,HUNTSVILLE,0,0,0,0,0,0,0,0,0
5562,AL,CHESTNUT HILL ESTATES,ALTOONA,79.2,0,0,0,0,0,0,0,100
32810,AL,CHESTNUT TRACE,TUSCALOOSA,33.3,0,0,0,0,-4,0,0,-4
18706,AL,CHESTNUT TRACE II,UNINCORPORATED TUSCALOOSA COUNTY,57.8,0,0,0,-4,-4,0,0,95.5
18712,AL,CHICKASAW II APARTMENTS,LINDEN,100,0,0,0,0,0,0,100,0
38665,AL,CITY COURT II APARTMENTS,TALLADEGA,97.2,100,0,0,0,0,0,0,0
13767,AL,CITYCENTER PLACE,BIRMINGHAM,25,0,0,0,0,0,0,0,100
29445,AL,CLANTON VILLAS,CLANTON,93.9,0,0,0,0,0,0,100,0
9574,AL,CLARION COVE,PELL CITY,0,0,0,0,0,0,0,0,0
28658,AL,CLARKSTON SQUARE,HUNTSVILLE,10.7,0,0,0,0,0,0,0,-4
23554,AL,CLEAR SPRING APARTMENTS,COLUMBIANA,2.6,0,0,0,0,0,0,0,-4
30226,AL,CLIO MANOR,CLIO,80,0,0,0,0,0,0,0,100
22195,AL,COBBLESTONE COVE APARTMENTS,MONTEVALLO,22.9,0,0,0,0,0,0,0,100
17461,AL,COBBLESTONE CREEK,MONTEVALLO,10.9,0,0,0,0,0,0,0,-4
33773,AL,COBBLESTONE VILLAGE APARTMENTS,CLANTON,0,0,0,0,0,0,0,0,0
10264,AL,COLLEGE MANOR APARTMENTS,GADSDEN,100,90.9,0,0,0,-4,0,0,-4
40538,AL,COLLIER COVE,HARTSELLE,2.5,0,0,0,0,0,0,0,-4
10418,AL,COLUMBIA-HALL APARTMENTS,COLUMBIA,71.4,0,0,0,0,0,0,-4,0
30227,AL,COLUMBUS SQUARE I,MONTGOMERY,22.2,0,0,0,0,0,0,0,100
30224,AL,COLUMBUS SQUARE II,MONTGOMERY,7.4,0,0,0,0,0,0,0,-4
28650,AL,COMMERCE STREET MANOR APARTMENTS,GREENVILLE,37.5,0,0,0,0,-4,0,0,-4
9419,AL,COMMUNITY VILLAGE I,MONTGOMERY,22.5,0,0,0,0,-4,0,0,-4
