ID,STATE,PROPERTYNAME,CITY,HHSIZEATCERT_EQUAL_PCT,HOH_DOB_VALID_PCT,MBRS_DOB_VALID_PCT,UNITS_WATLEAST1_UNDR18_PCT,UNITS_WATLEAST1_ABOVE62_PCT,UNITS_WHOH_ABOVE62_PCT
3921,IA,THE ARBOR AT LINDALE TRAIL,MARION,100,100,100,0,89.5,89.5
3977,IA,THE ARBOR'S,GRINNELL,100,100,97.4,54.8,-4,-4
28844,IA,THE BLUFFS APTS,COUNCIL BLUFFS,100,100,99.6,43.1,26.8,24.4
2189,IA,THE BLUFFS APTS PHASE II,COUNCIL BLUFFS,-4,100,100,33.3,26.9,23.1
39204,IA,THE BRICKSTONES AT RIVERBEND,DES MOINES,100,100,100,0,-4,-4
22569,IA,THE CENTER APTS,SIOUX CITY,100,100,100,63.6,-4,-4
37454,IA,THE EVERETT,SIOUX CITY,100,100,98.1,77.8,0,0
19992,IA,THE IOWANA,CRESTON,100,100,100,0,45.8,45.8
11493,IA,THE JACKSON RENAISSANCE,DAVENPORT,100,100,100,0,90.5,90.5
6941,IA,THE MEADOWS,DES MOINES,100,100,100,78.3,-4,-4
18266,IA,THE PRESERVE AT CROSSROADS,WATERLOO,100,100,99.1,48.4,17.9,16.8
317,IA,THE RESERVES AT BRIARWOOD,WASHINGTON,100,100,100,60.9,-4,-4
18936,IA,THE RESERVES AT IRONWOOD,OSKALOOSA,100,100,98.3,65.9,-4,-4
11274,IA,THE RESERVES AT MILL FARM,PELLA,100,100,98.4,-4,38.7,-4
30516,IA,THE RESERVES AT STORM LAKE,STORM LAKE,100,100,97.9,71,-4,-4
34039,IA,THE ROOSEVELT,CEDAR RAPIDS,100,100,99.2,17.4,25,25
8823,IA,THE ROSE OF AMES,AMES,100,100,100,0,96.2,96.2
39202,IA,THE ROSE OF COUNCIL BLUFFS,COUNCIL BLUFFS,100,100,100,0,94.6,94.6
40814,IA,THE ROSE OF DES MOINES,DES MOINES,100,100,100,0,93,93
12995,IA,THE ROSE OF DUBUQUE,DUBUQUE,100,100,100,0,94.1,94.1
6467,IA,THE ROSE OF EAST DES MOINES,DES MOINES,100,100,100,0,91.5,91.5
25191,IA,THE ROSE OF WATERLOO,WATERLOO,100,100,100,0,100,100
15854,IA,THE TALLCORN,MARSHALLTOWN,100,100,100,-4,23.4,23.4
3976,IA,THE WAY HOME,CEDAR RAPIDS,100,100,100,95.7,0,0
319,IA,THOMAS SQUARE AT GRIMES,GRIMES,100,98,98.6,64,-4,-4
16008,IA,THORNBURY WAY,COUNCIL BLUFFS,-4,100,100,-4,46.7,46.7
318,IA,THUNDER RIDGE SENIOR APARTMENTS,CEDAR FALLS,100,100,100,0,100,100
25143,IA,TOWN SQUARE APARTMENTS,FORT DODGE,-4,100,100,0,-4,0
13045,IA,TOWN VIEW APARTMENTS,SIOUX CITY,100,100,100,78.1,-4,-4
18211,IA,UNITED MANOR,DE WITT,100,100,100,0,97.6,97.6
39196,IA,UNITY SQUARE TOWNHOMES,WATERLOO,100,100,100,72.5,-4,-4
25145,IA,UPPER MAIN REVITALIZATION PROJECT,DUBUQUE,100,100,100,-4,-4,-4
1478,IA,URBAN CROSSING APARTMENTS,GRIMES,100,100,100,36.7,-4,-4
29776,IA,VALLEY VIEW APTS-CEDAR RAPIDS,CEDAR RAPIDS,100,100,100,39.5,-4,-4
19994,IA,VALLEY VIEW APTS-COLUMBUS JUNCTION,COLUMBUS JUNCTION,100,100,100,-4,-4,-4
2143,IA,VALLEY VIEW APTS-MCGREGOR,MCGREGOR,100,100,100,0,-4,-4
25146,IA,VAN ALLEN,CLINTON,100,100,100,0,70.6,70.6
333,IA,VAN FOSSEN SQUARE (ADEL ASSIST. LIVING),ADEL,100,100,100,0,69.6,69.6
5687,IA,VENBURY TRAIL APARTMENTS,ALTOONA,-4,100,100,47.9,-4,-4
16011,IA,VIKING VILLAGE APTS,STORY CITY,100,100,100,47.8,-4,-4
342,IA,VILLAGE AT NINE 23 I,CEDAR FALLS,100,100,100,19,-4,-4
28842,IA,VILLAGE AT NINE 23 II,CEDAR FALLS,-4,100,100,20,18.3,18.3
5506,IA,VILLAGE PARK/INDIANHEAD APTS,TOLEDO,100,100,100,-4,-4,-4
30512,IA,VILLAS AT FOX POINTE,KNOXVILLE,100,100,99.3,56.3,35.4,29.2
8778,IA,VILLAS AT MEADOW SPRINGS,ANKENY,100,100,100,0,90.7,83.7
1476,IA,VINE STREET LOFTS,DES MOINES,-4,100,100,25.6,27.9,27.9
16002,IA,WAGON WHEEL SENIOR HOUSING,FAIRFIELD,100,100,100,0,97,97
18995,IA,WAHKONSA MANOR,FORT DODGE,100,100,100,-4,26.3,25
35883,IA,WALDEN POINT,DES MOINES,100,100,100,0,64.9,64.9
30515,IA,WALTON WOODS,JEFFERSON,-4,100,100,0,56.3,56.3
26975,IA,WAPSIE VALLEY APTS,INDEPENDENCE,100,100,100,-4,0,0
3974,IA,WASHINGTON APARTMENTS,OTTUMWA,100,100,98,61.9,-4,-4
17782,IA,WASHINGTON COURT (DUBUQUE),DUBUQUE,-4,100,98,-4,34.3,-4
23316,IA,WASHINGTON SENIOR APTS,CLINTON,100,100,100,0,58.7,58.7
18997,IA,WAUKEE FAMILY HOUSING,WAUKEE,100,100,99.5,81.1,-4,-4
16004,IA,WC STOKES ESTATES,WATERLOO,100,100,100,0,80.8,80.8
25149,IA,WELCH APARTMENTS,MUSCATINE,100,100,100,0,80,75
35930,IA,WEST FIELD APTS,GRINNELL,100,100,100,-4,-4,-4
23012,IA,WEST HEIGHTS TOWNHOMES,CLINTON,100,100,100,90,-4,-4
34998,IA,WESTOWN APARTMENTS,MARSHALLTOWN,100,100,100,0,91.7,91.7
13044,IA,WESTPORT TERRACE,KEOKUK,100,100,99.3,43.1,31.9,30.6
40815,IA,WESTWOOD APTS,WAUKON,100,100,100,-4,54.2,54.2
11545,IA,WESTWOOD PARK APTS,WEST UNION,100,100,100,-4,-4,-4
6936,IA,WHISPER RIDGE,WEST DES MOINES,100,100,98.9,41.5,20,17.6
28843,IA,WHISPERING GARDEN,IOWA CITY,100,100,100,-4,-4,-4
