ID,STATE,PROPERTYNAME,CITY,HHSIZEATCERT_NOTREPORTED_PCT,HHSIZEATCERT_LT_PCT,HHSIZEATCERT_EQUAL_PCT,HHSIZEATCERT_GT_PCT
6510,AK,HAMPSTEAD HEATH APTS.,ANCHORAGE,100,0,0,0
18659,AK,"HARBOR RIDGE-HOMER ASSOCIATES, LLC",HOMER,0,0,100,0
33711,AK,HILLPOINT PARK APARTMENTS,ANCHORAGE,0,0,100,0
6243,AK,"HUNTER CREEK APTS. OF PALMER, LP",PALMER,0,0,100,0
36791,AK,KENAITZE POINTE,ANCHORAGE,-4,-4,86.8,0
1824,AK,KNIK MANOR,WASILLA,0,0,100,0
17459,AK,LOUSSAC PLACE,ANCHORAGE,-4,-4,72.7,-4
17458,AK,LOUSSAC-SOGN,ANCHORAGE,100,0,0,0
1178,AK,"MILL BAY TOWNHOMES, LLC",KODIAK,0,0,100,0
33670,AK,MLH MANOR,FAIRBANKS,0,0,100,0
33085,AK,"MUNAQSRI SENIOR ASSOCIATES OF NOME, LLC",NOME,0,0,100,0
27,AK,MVVI,ANCHORAGE,-4,-4,60.7,-4
22149,AK,MVVII,ANCHORAGE,-4,-4,66,-4
28604,AK,MVVIII,ANCHORAGE,-4,28.9,52.6,-4
16928,AK,MVVIV,ANCHORAGE,-4,-4,64.7,-4
24716,AK,MVVV,ANCHORAGE,-4,-4,70.5,-4
28605,AK,NORTHWARD BUILDING,FAIRBANKS,0,0,100,0
28603,AK,PACIFIC PARK,SEWARD,-4,0,-4,0
28602,AK,PARKVIEW-SOLDOTNA ASSOCIATES LP,SOLDOTNA,0,0,100,0
35027,AK,RAVEN TREE COURT,WASILLA,0,0,100,0
30172,AK,RIDGELINE TERRACE,ANCHORAGE,-4,-4,70,-4
33710,AK,SOUND VIEW ASSOCIATES,VALDEZ,0,0,100,0
23448,AK,"SPRUCE CAPE HOMES, LLC",KODIAK,0,0,100,0
24715,AK,SPRUCE VIEW,ANCHORAGE,100,0,0,0
6242,AK,STRAWBERRY VILLAGE,ANCHORAGE,-4,-4,66.7,-4
13759,AK,SUNRISE,YAKUTAT,0,0,100,0
