ID,STATE,PROPERTYNAME,UNITS_RNTASSTNCE_MSNG_PCT,UNITS_RNTASSTNCE_RPTD_0_PCT,UNITS_RNTASSTNCE_RPTD_GRT0_PCT
31983,AL,FOX RUN SOUTH APARTMENTS,0,-4,-4
38671,AL,FRANKLIN HILLS,0,-4,-4
20524,AL,FRENCH FARMS VILLAGE APARTMENTS,0,-4,-4
1300,AL,GABLES CROSSING,0,-4,-4
22152,AL,GARDEN COVE APARTMENTS,0,19.1,80.9
1825,AL,GARDEN GREENE APARTMENTS,0,100,0
21829,AL,GARDEN OAKS APARTMENTS F/K/A CROSSROADS APTS,0,75,25
10999,AL,GARDEN PARK APARTMENTS,0,-4,-4
1969,AL,GATEWAY PLACE,0,100,0
15689,AL,GIBBS MANOR,0,-4,-4
36847,AL,GLEN ARBOR F/K/A SOMERBY PLACE,0,68.8,31.3
21672,AL,"GLENBROOK AT OXMOOR VALLEY, PHASE I",0,66,34
1871,AL,GLENWOOD MEADOWS APARTMENTS,0,67.5,32.5
15687,AL,GRACE POINTE,0,-4,-4
12154,AL,GRACE RIDGE,0,-4,-4
1971,AL,GRADY'S WALK,0,58.2,41.8
17504,AL,GRAND VIEW APARTMENTS,0,82.9,17.1
16933,AL,GRANDVIEW GARDENS APARTMENTS,0,0,100
22204,AL,GREENBRIAR NORTH,0,-4,-4
35081,AL,GREENBRIAR TOWNHOMES,0,51.3,48.7
23512,AL,GREENFIELD APARTMENTS,0,43.4,56.6
11002,AL,GREENLEAF APARTMENTS,0,-4,-4
10268,AL,GREENRIDGE APARTMENTS,0,-4,-4
31994,AL,GREENTREE APARTMENTS,0,50,50
16938,AL,GREENVILLE VILLAGE,0,-4,-4
5515,AL,GREENWOOD PARK,0,27.5,72.5
24718,AL,GREYSTONE FKA WILSHIRE PARK,0,-4,-4
38672,AL,GREYSTONE PLACE,0,78.6,21.4
20471,AL,GULF BREEZE APARTMENTS,0,0,100
6567,AL,HALLMARK AT MOBILE,0,66.3,33.7
35085,AL,HALLMARK AT PHENIX,0,80.4,19.6
20520,AL,HALLMARK AT SELMA,0,-4,-4
24775,AL,HALLMARK AT TALLADEGA,0,-4,-4
30176,AL,HALLMARK CRESTMOOR FKA CRESTMOOR,0,-4,-4
28608,AL,HALLMARK GARDEN PARKWAY FKA HALLMARK HOMES AT GARDEN PARKWAY,0,45.7,54.3
11050,AL,HALLSON MANOR,0,-4,-4
38620,AL,HAMILTON PLACE APARTMENTS,0,-4,-4
